name,brand,picture,min_price,max_price,dong_url,jia_url,dong_score,jia_score,size,type,engine,gearbox
上汽大通MAXUS EUNIQ 5,上汽大通,,16.58,23.03,,https://www.autohome.com.cn/5120/#pvareaid=6834146,,,紧凑型MPV,,82-177马力,
上汽大通MAXUS G50,上汽大通,,8.68,16.70,,https://www.autohome.com.cn/4686/#pvareaid=6834146,,4.55,紧凑型MPV,MPV,1.3T 1.5T,干式双离合 手动
上汽大通MAXUS EG10,上汽大通,,29.93,41.68,,https://www.autohome.com.cn/4338/#pvareaid=6834146,,,中大型MPV,,204马力,
上汽大通MAXUS EUNIQ 7,上汽大通,,29.98,39.98,,https://www.autohome.com.cn/5751/#pvareaid=6834146,,,中大型MPV,,,
上汽大通MAXUS G10,上汽大通,,13.98,19.08,,https://www.autohome.com.cn/3064/#pvareaid=6834146,,4.53,中大型MPV,MPV,2.0T,手自一体 手动
上汽大通MAXUS G20,上汽大通,,18.68,28.98,,https://www.autohome.com.cn/5244/#pvareaid=6834146,,4.56,中大型MPV,MPV,2.0T,手自一体
上汽大通MAXUS RG20,上汽大通,,26.98,30.98,,https://www.autohome.com.cn/5913/#pvareaid=6834146,,3.00,中大型MPV,MPV,2.0T,手自一体
上汽大通MAXUS EV30,上汽大通,,12.87,18.17,,https://www.autohome.com.cn/5077/#pvareaid=6834146,,,微面,,95马力,
上汽大通MAXUS EV90,上汽大通,,21.90,33.90,,https://www.autohome.com.cn/5882/#pvareaid=6834146,,,轻客,,204马力,
上汽大通MAXUS RV80,上汽大通,,31.68,38.58,,https://www.autohome.com.cn/5391/#pvareaid=6834146,,,轻客,客车,2.0T,AMT
上汽大通MAXUS RV90,上汽大通,,36.98,268.00,,https://www.autohome.com.cn/5930/#pvareaid=6834146,,,轻客,客车,2.0T,自动
上汽大通MAXUS V80,上汽大通,,10.28,24.56,,https://www.autohome.com.cn/2608/#pvareaid=6834146,,4.47,轻客,客车 货车,2.0T 2.5T,AMT 手动
上汽大通MAXUS V80新能源,上汽大通,,23.87,130.00,,https://www.autohome.com.cn/5494/#pvareaid=6834146,,,轻客,,136-150马力,
上汽大通MAXUS V90,上汽大通,,14.78,24.96,,https://www.autohome.com.cn/5192/#pvareaid=6834146,,4.49,轻客,客车 货车,2.0T,手动 自动 AMT
上汽大通MAXUS T60,上汽大通,,9.98,13.98,,https://www.autohome.com.cn/4241/#pvareaid=6834146,,4.60,皮卡,皮卡,2.0T,自动 手动
上汽大通MAXUS T70,上汽大通,,8.98,19.38,,https://www.autohome.com.cn/5258/#pvareaid=6834146,,4.52,皮卡,皮卡,2.0T 2.4L,自动 手动
上汽大通MAXUS T90,上汽大通,,12.98,21.98,,https://www.autohome.com.cn/5834/#pvareaid=6834146,,4.53,皮卡,皮卡,2.0T,自动 手动
上汽大通MAXUS T90新能源,上汽大通,,29.98,29.98,,https://www.autohome.com.cn/6092/#pvareaid=6834146,,,皮卡,,177马力,
